Date	Plot	Section	E_s_normal	E_s_infertile	E_t_normal	E_t_infertile	Field_remarks	General_remarks
2012-07-26	Eri4	A	12	21	0	0	No remarks	No remarks
2012-07-26	Eri4	B	10	12	0	0	No remarks	No remarks
2012-07-26	Eri4	C	7	19	0	0	No remarks	No remarks
2012-07-26	Eri4	D	12	28	0	0	No remarks	No remarks
2013-06-24	Eri1	A	1	31	0	0	No remarks	No remarks
2013-06-24	Eri1	B	1	12	0	0	No remarks	No remarks
2013-06-24	Eri1	C	0	22	0	0	No remarks	No remarks
2013-06-24	Eri1	D	7	50	0	0	No remarks	No remarks
2013-06-24	Eri4	A	0	31	0	0	No remarks	No remarks
2013-06-24	Eri4	B	0	29	0	0	No remarks	No remarks
2013-06-24	Eri4	C	0	55	0	0	No remarks	No remarks
2013-06-24	Eri4	D	0	30	0	0	No remarks	No remarks
2013-07-11	Eri2	A	0	1	0	0	No remarks	No remarks
2013-07-11	Eri2	B	3	2	1	0	No remarks	No remarks
2013-07-11	Eri2	C	0	0	0	0	No remarks	No remarks
2013-07-11	Eri2	D	1	9	0	0	No remarks	No remarks
2013-07-11	Eri3	A	3	6	0	0	No remarks	No remarks
2013-07-11	Eri3	B	4	4	0	0	No remarks	No remarks
2013-07-11	Eri3	C	0	2	0	0	No remarks	No remarks
2013-07-11	Eri3	D	9	2	0	0	No remarks	No remarks
2014-07-28	Eri4	A	4	52	0	0	No remarks	No remarks
2014-07-28	Eri4	B	4	42	0	0	No remarks	No remarks
2014-07-28	Eri4	C	7	31	0	0	No remarks	No remarks
2014-07-28	Eri4	D	3	40	0	0	No remarks	No remarks
2014-07-30	Eri1	A	8	11	0	0	No remarks	No remarks
2014-07-30	Eri1	B	3	8	0	0	No remarks	No remarks
2014-07-30	Eri1	C	1	5	0	0	No remarks	No remarks
2014-07-30	Eri1	D	9	10	0	0	No remarks	No remarks
2014-07-31	Eri2	A	0	1	0	0	No remarks	No remarks
2014-07-31	Eri2	B	0	1	0	0	No remarks	No remarks
2014-07-31	Eri2	C	0	0	0	0	No remarks	No remarks
2014-07-31	Eri2	D	2	4	0	0	No remarks	No remarks
2014-08-06	Eri3	A	0	3	0	0	No remarks	No remarks
2014-08-06	Eri3	B	0	1	0	0	No remarks	No remarks
2014-08-06	Eri3	C	0	2	0	0	No remarks	No remarks
2014-08-06	Eri3	D	0	1	0	0	No remarks	No remarks
